,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
PAY,,,,,,,,,,N/A,N/A,N/A,39.23,22.53,27.20,28.28,279.93k,473.14k,13.88M,N/A,1.52M,1.98%,117.22%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",3.02%,5.01%,N/A,N/A,346.16M,3.30,30.30%,92.63M,18.73M,5.53M,N/A,-87.70%,266.39M,2.27,12.55M,4.05,8.27,N/A,32.46M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.37k,3.79,6.79%,0.67%,984.61k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.65,17.10,29.08,31.04,937.61k,847.73k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.35,N/A,N/A,52.39,32.69,40.74,39.38,309.69k,443.47k,77.62M,N/A,77.48M,0.92%,92.76%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 25, 2020","Sep 24, 2021",10.15%,12.34%,6.11%,10.30%,761.72M,9.82,6.70%,288.76M,143.54M,77.3M,1.04,-10.50%,264.68M,3.38,67.32M,8.56,3.17,9.88,145.48M,73.41M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09M,3.83,1.91%,1.40%,1.29M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETWO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.58,8.26,11.94,11.38,2.68M,4.97M,195.17M,N/A,106.54M,10.41%,94.73%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Feb 27, 2021","Feb 27, 2021",-11.25%,-3.90%,-0.31%,-2.61%,330.01M,1.76,-3.80%,222.16M,56.79M,10.8M,N/A,N/A,194.72M,0.83,518.62M,20.93,1.81,N/A,14.46M,16.69M,,,,,,,,,,,14.43M,8.69,13.49%,7.72%,12.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.41,14.87,18.13,18.26,261k,239.88k,N/A,N/A,29.73M,50.49%,43.10%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-21.98%,-5.06%,N/A,N/A,446.49M,5.62,44.20%,222.5M,69.77M,-141.18M,N/A,N/A,95.59M,0.49,385.07M,39.14,1.86,N/A,39.14M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67M,7.12,5.66%,0.86%,2.14M,,,,,,,,,,,,,,,,,,,,
RAMP,,,,,,,,,,1.19,N/A,N/A,87.38,38.50,51.15,48.32,400.1k,473.5k,66.92M,N/A,65.31M,2.52%,98.93%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Aug 18, 2008",2:1,"Nov 11, 1996","Mar 30, 2020","Dec 30, 2020",-14.33%,-24.35%,-5.02%,-5.66%,429.55M,6.48,17.20%,227.87M,-75.18M,-62.3M,-0.93,N/A,666.4M,9.96,14.9M,1.41,5.46,15.82,-3.1M,23.46M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21M,3.28,4.44%,3.30%,2.11M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMO,,,,,,,,,,1.10,N/A,N/A,91.02,44.58,72.99,68.82,289.39k,549.92k,35.15M,N/A,29.56M,0.00%,79.32%,,,,,,1.4,1.86%,1.40,1.60%,2.46,97.90%,"Nov 23, 2021","Aug 03, 2021",N/A,N/A,"Dec 30, 2020","Jun 29, 2021",16.27%,22.06%,11.64%,17.67%,673.44M,19.38,61.60%,260.16M,163.47M,109.56M,2.28,75.60%,357.12M,10.23,N/A,N/A,3.99,16.05,129.32M,48.21M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26M,4.06,N/A,3.60%,972.83k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVLT,,,,,,,,,,0.59,N/A,N/A,84.22,53.42,67.35,72.34,335.24k,349.94k,46.03M,N/A,40.8M,0.70%,96.10%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Mar 30, 2021","Sep 29, 2021",3.18%,6.85%,3.89%,6.55%,740.59M,15.94,3.90%,614.1M,61.12M,23.56M,-0.66,N/A,295.81M,6.5,19.46M,6.49,1.42,8.48,144.98M,150.88M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.59k,3.66,2.49%,2.16%,1.18M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMEO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.00,17.10,25.02,35.29,2M,2.79M,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNTV,,,,,,,,,,1.28,N/A,N/A,28.12,16.35,22.37,20.35,1.21M,1.9M,145.64M,N/A,129.81M,12.60%,80.62%,1.69M,1.37,1.55%,1.14%,3M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-23.41%,-20.91%,-6.23%,-28.85%,427.42M,2.94,20.30%,291.69M,-68.04M,-100.08M,N/A,N/A,300.7M,2.02,290.84M,80.38,1.23,N/A,71.95M,114.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.25,N/A,N/A,58.36,29.15,39.02,40.65,1.15M,2.28M,83.64M,N/A,73.89M,13.48%,86.05%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Jul 30, 2021",-38.89%,-34.56%,-7.04%,-30.29%,244.18M,2.97,33.20%,182.87M,-77.51M,-94.97M,-0.99,N/A,546.82M,6.43,309.46M,108.52,3.48,3.52,-1.78M,49.96M,9.19M,13.61,15.48%,10.81%,9.42M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMBS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.04,N/A,N/A,29.60,17.07,25.11,22.49,864.77k,1.21M,112.5M,N/A,100.76M,1.48%,90.53%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,4:1,"Jun 14, 2000","Dec 30, 2020","Jun 29, 2021",-5.93%,-2.40%,-0.33%,-1.81%,274.07M,2.43,37.50%,202.93M,38.93M,-16.24M,-0.32,N/A,477.11M,4.38,197.63M,23.79,8.34,8.08,177.24M,53.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62M,10.94,8.50%,6.08%,7.32M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IONQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.90,7.07,17.47,12.05,6.94M,6.27M,N/A,N/A,N/A,23.80%,25.85%,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.19,N/A,N/A,57.70,24.63,38.07,35.45,2.13M,2.9M,111.97M,N/A,89.59M,4.96%,102.76%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-100.43%,-25.10%,-0.82%,-19.58%,214.76M,2.02,37.30%,143.62M,43.47M,-215.69M,-9.37,N/A,408.16M,3.64,3.07B,205.63,2.73,7.46,-176.52M,-463.46M,13.41M,5.71,16.48%,11.95%,13.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVDX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.43,14.58,21.92,21.92,1.59M,1.38M,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.41,N/A,N/A,26.50,19.00,20.40,22.26,830.21k,846.23k,132.71M,N/A,134.91M,0.52%,98.03%,,,,,,0.38,1.83%,0.38,1.89%,1.72,23.46%,"Dec 16, 2021","Sep 08, 2021",3:2,"Jun 11, 2000","Dec 30, 2020","Jul 02, 2021",8.15%,11.40%,6.46%,14.98%,2.89B,19.95,40.80%,586.47M,497.49M,235.68M,1.15,278.00%,855.79M,5.91,567.45M,34.20,2.99,10.81,364.81M,181.81M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84M,11.54,6.68%,5.41%,7.42M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXFY,,,,,,,,,,N/A,N/A,N/A,51.06,32.85,41.52,41.52,984.28k,581.57k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANT,,,,,,,,,,0.71,N/A,N/A,101.35,66.91,76.86,82.15,151.74k,275.05k,27.42M,N/A,27.25M,1.03%,100.92%,,,,,,1.52,1.94%,1.34,1.87%,1.72,43.61%,"Dec 16, 2021","Sep 08, 2021",N/A,N/A,"Dec 30, 2020","Jun 29, 2021",5.12%,6.69%,4.79%,8.28%,2.56B,63.20,2.50%,379.59M,244.78M,130.84M,3.05,22.20%,64.87M,1.59,132.3M,8.12,1.59,39.42,209.12M,138.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.61k,3.12,1.78%,0.85%,474.91k,,,,,,,,,,,,,,,,,,,,,,,,,
FROG,,,,,,,,,,N/A,N/A,N/A,72.28,27.65,33.53,40.50,900.81k,1.01M,93.52M,N/A,45.19M,33.77%,60.08%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-9.31%,-12.90%,N/A,-4.32%,163.09M,2.61,37.40%,122.38M,-18.05M,-15.18M,N/A,N/A,605.65M,6.48,20.77M,3.71,4.82,N/A,39.52M,N/A,,,,,,,,,,,4.84M,4.03,8.35%,5.17%,3.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQ,,,,,,,,,,0.75,N/A,N/A,130.33,37.13,61.67,65.71,1.65M,1.77M,73.51M,N/A,56.36M,11.28%,62.00%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,5:1,"Nov 16, 2020","Dec 30, 2020","Mar 30, 2021",23.49%,32.94%,11.99%,25.37%,762.87M,10.62,51.70%,233.99M,321.58M,179.24M,2.36,150.40%,174.68M,2.38,222.33M,25.11,0.93,11.59,337.8M,-55.8M,,,,,,,,,,,5.63M,3.04,N/A,7.66%,6.34M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITRI,,,,,,,,,,1.16,N/A,N/A,122.31,59.80,70.79,84.40,356.97k,522.22k,45.13M,N/A,44.7M,0.72%,101.32%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-2.58%,4.10%,1.79%,-5.20%,2.09B,51.56,-13.20%,602.17M,180.96M,-54.04M,-1.33,45.10%,574.59M,12.73,962.35M,78.81,1.38,26.52,140.58M,107.7M,,,,,,,,,,,1.79M,5.59,4.62%,3.97%,1.67M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXT,,,,,,,,,,N/A,N/A,N/A,26.43,12.47,14.38,18.11,1.12M,1.19M,207.71M,N/A,60.4M,2.27%,99.35%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-9.26%,6.23%,1.75%,-24.69%,2.87B,14.34,13.30%,1.01B,623.5M,-265.6M,N/A,N/A,224.2M,1.07,4.16B,300.98,1.12,N/A,226.8M,356M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06M,10.6,12.81%,4.81%,9.49M,,,,,,,,,,,,,,,,,,,,
CRNC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,139.00,63.00,90.56,99.64,555.87k,967.92k,37.82M,N/A,37.33M,0.66%,101.57%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Sep 29, 2020","Jun 29, 2021",11.55%,18.54%,2.60%,4.47%,379.03M,10.12,28.70%,230.13M,96.8M,43.79M,N/A,N/A,149.94M,3.94,292.03M,28.58,1.61,N/A,77.28M,65.53M,,,,,,,,,,,,,,,,,,,,,,,,,,4.81M,5.81,14.49%,12.73%,4.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVA,,,,,,,,,,N/A,N/A,N/A,37.77,16.15,20.06,23.81,1.44M,2.33M,19.03M,N/A,44.35M,0.73%,90.15%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-12.57%,-12.04%,N/A,N/A,287.68M,3.60,116.90%,30.31M,-31.43M,-36.17M,N/A,N/A,664.32M,4.29,2.2M,0.37,2.40,N/A,89.31M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38M,1.33,5.25%,1.54%,1.72M,,,,,,,,,,,,,,,
DDD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.24,N/A,N/A,56.50,10.12,25.74,27.41,2.59M,2.51M,125.05M,N/A,121.87M,2.57%,68.70%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Feb 24, 2013","Dec 30, 2020","Jun 29, 2021",-9.25%,-0.97%,-0.51%,-12.29%,617.5M,5.10,44.10%,223.38M,33.41M,-57.12M,-0.72,N/A,131.84M,1.05,56.05M,12.01,2.33,3.70,42.87M,67.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83M,4.61,13.29%,9.45%,13.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEM,,,,,,,,,,N/A,N/A,N/A,51.49,16.00,22.04,25.69,3.23M,4.45M,16.26M,N/A,131.76M,20.33%,44.68%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-180.23%,-71.24%,N/A,N/A,93.24M,1.91,334.30%,-3.91M,-52.03M,-168.04M,N/A,N/A,575.98M,3.99,104.05M,16.49,8.31,N/A,-84.77M,N/A,4.25M,1.32,N/A,2.94%,5.03M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPSN,,,,,,,,,,1.13,N/A,N/A,72.23,33.13,46.67,55.84,866.24k,1.25M,68.95M,N/A,64.05M,6.90%,101.97%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-23.15%,-8.96%,-2.90%,-45.17%,396.42M,5.94,38.20%,260.35M,-7.22M,-91.79M,-1.38,N/A,668.23M,9.69,567.23M,218.15,3.49,3.79,54.54M,74.23M,,,,,,,,,,,10.75M,15.55,23.28%,15.59%,10.27M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.48,10.62,22.44,20.66,447.47k,399.63k,10.72M,N/A,10.79M,0.92%,105.51%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-1.16%,-0.59%,N/A,N/A,153.64M,1.46,58.20%,94.94M,1.09M,-1.78M,N/A,N/A,180.76M,1.33,5.3M,3.54,3.35,N/A,14.95M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1M,4.2,10.16%,0.81%,693.57k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAY,,,,,,,,,,1.32,N/A,N/A,56.40,36.05,45.80,42.46,538.76k,1.59M,45.39M,N/A,41.9M,2.89%,92.11%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2021","Jun 29, 2021",-3.45%,-1.60%,-0.59%,-3.84%,471.4M,11.02,10.40%,274.95M,45.66M,-16.29M,-0.28,N/A,144.15M,3.34,156.63M,34.33,1.68,10.22,N/A,N/A,,,,,,,,,,,,,,,,,,,,,2.77M,6.37,8.38%,6.09%,1.62M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.28,N/A,N/A,16.88,7.05,9.52,12.13,7.89M,12M,319.46M,N/A,318.02M,1.15%,109.74%,,,,,,N/A,N/A,0.00,0.00%,N/A,0.00%,"Mar 29, 2020","Mar 18, 2020",N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-131.73%,-96.26%,-10.46%,-370.77%,1B,3.33,-50.30%,774.09M,-862.96M,-1.34B,-4.44,N/A,1.28B,4.02,4.88B,"15,374.26",2.70,0.08,-1.01B,-512.47M,,,,,,,,,,,60.7M,8.08,19.17%,19.00%,57.92M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLXS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.19,N/A,N/A,101.17,72.46,91.84,91.38,101.57k,207.06k,28.59M,N/A,27.61M,1.99%,98.99%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 31, 2000","Oct 02, 2020","Jul 02, 2021",4.17%,5.44%,5.08%,14.58%,3.44B,119.33,-5.00%,312.71M,247.48M,143.28M,5.12,-23.00%,303.26M,10.73,290.48M,28.47,1.81,35.38,249.36M,180.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.57k,8.19,3.68%,2.67%,677.15k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.12,N/A,N/A,43.63,30.59,39.05,39.67,303.21k,424.65k,65.1M,N/A,63.63M,2.25%,98.02%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:6,"Aug 16, 2009","Oct 02, 2020","Apr 02, 2021",2.74%,4.43%,4.75%,11.43%,6.98B,105.07,6.90%,525.71M,421.35M,191.54M,2.81,863.50%,575.18M,8.84,413.04M,23.81,2.01,26.66,286.56M,178.97M,,,,,,,,,,,2.32M,6.8,5.14%,3.57%,2.3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.21,N/A,N/A,23.25,12.47,20.59,17.28,941.68k,937.55k,110M,N/A,116.6M,0.79%,76.27%,5.66M,7.35,4.93%,4.54%,4.44M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-24.76%,-23.68%,-12.04%,-47.72%,335.33M,2.74,15.50%,174.65M,-62.64M,-83.03M,-0.62,N/A,203.34M,1.61,62.31M,34.67,1.56,1.42,11.46M,59.54M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
